XREF ID,DISPATCH UNIT,DISPATCH CREATED DATE,INCIDENT NUMBER,1ST UNIT ON SCENE,ALARM DATE TIME,CALL COMPLETE,SHIFT,DISPATCH CREATED DATE_dt,ALARM DATE TIME_dt,CaseID
2025107105,"BAT111, E171, LDR175",3/24/25 15:54,25-1368,BC-111,3/24/25 15:46,9/5/25 16:20,C,2025-03-24 15:54:00,2025-03-24 15:46:00,1
2025107223,BAT111,3/24/25 17:28,25-1369,BC-111,3/24/25 17:23,9/5/25 17:55,C,2025-03-24 17:28:00,2025-03-24 17:23:00,2
2025107415,E171,3/24/25 21:03,25-1370,E-171,3/24/25 21:02,9/4/25 21:09,C,2025-03-24 21:03:00,2025-03-24 21:02:00,3
2025107411,E171,3/24/25 21:03,25-1371,nan,3/24/25 20:58,9/4/25 21:02,C,2025-03-24 21:03:00,2025-03-24 20:58:00,4
2025107384,"BAT111, E171, LDR175",3/24/25 21:43,25-1374,BC-111,3/24/25 20:30,9/4/25 21:36,C,2025-03-24 21:43:00,2025-03-24 20:30:00,5
2025107616,"E171, LDR175",3/25/25 1:43,25-1375,L-175,3/25/25 1:38,9/5/25 2:48,C,2025-03-25 01:43:00,2025-03-25 01:38:00,6
2025107681,LDR175,3/25/25 4:48,25-1376,L-175,3/25/25 4:39,9/5/25 5:02,C,2025-03-25 04:48:00,2025-03-25 04:39:00,7
2025107683,LDR175,3/25/25 5:13,25-1377,L-175,3/25/25 5:06,9/5/25 5:20,C,2025-03-25 05:13:00,2025-03-25 05:06:00,8
2025107887,"E171, LDR175",3/25/25 9:58,25-1378,L-175,3/25/25 9:52,9/5/25 11:13,C,2025-03-25 09:58:00,2025-03-25 09:52:00,9
2025108058,E171,3/25/25 11:53,25-1379,E-171,3/25/25 11:51,9/5/25 12:10,C,2025-03-25 11:53:00,2025-03-25 11:51:00,10
2025108141,"E171, E172",3/25/25 12:48,25-1380,E-172,3/25/25 12:43,9/5/25 12:53,C,2025-03-25 12:48:00,2025-03-25 12:43:00,11
2025108639,LDR175,3/25/25 18:28,25-1381,nan,3/25/25 18:20,9/5/25 18:38,C,2025-03-25 18:28:00,2025-03-25 18:20:00,12
