hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
0,8,8,6,2,3,7,4,38
1,11,8,7,8,3,8,10,55
2,4,5,3,3,4,8,8,35
3,9,10,8,1,9,4,9,50
4,4,4,4,2,7,6,4,31
5,9,3,8,4,6,4,5,39
6,4,5,7,7,10,6,10,49
7,15,15,8,11,14,5,10,78
8,13,13,18,8,8,7,14,81
9,11,18,14,14,14,10,14,95
10,17,22,18,16,16,18,11,118
11,24,20,15,25,18,15,12,129
12,16,15,16,20,29,13,18,127
13,18,13,13,15,11,18,20,108
14,22,27,18,21,24,16,12,140
15,20,23,25,25,17,17,20,147
16,24,17,14,21,17,14,11,118
17,28,16,17,12,28,17,20,138
18,19,22,27,22,15,16,13,134
19,20,12,20,17,18,17,11,115
20,17,11,21,17,14,23,11,114
21,16,16,15,13,14,13,7,94
22,3,12,18,8,13,13,16,83
23,12,8,9,8,9,29,9,84
Total,344,323,329,300,321,304,279,2200
