S.No.,Height (cm),Weight (kg),BMI (numeric),"BMI Category = C1, C2, C3, C4",Height_m,BMI_calc,BMI_Class2
1,164.0,74.5,,,1.64,27.69928613920286,1
2,151.0,75.2,,,1.51,32.981009604841894,1
3,168.0,67.8,,,1.68,24.022108843537417,0
4,168.0,76.4,,,1.68,27.069160997732432,1
5,170.0,72.0,,,1.7,24.913494809688583,0
6,180.0,77.0,,,1.8,23.76543209876543,0
7,150.0,53.0,,,1.5,23.555555555555557,0
8,173.0,64.5,,,1.73,21.551004042901532,0
9,193.0,88.0,,,1.93,23.624795296518027,0
10,190.0,81.5,,,1.9,22.57617728531856,0
11,193.0,102.0,,,1.93,27.383285457327716,1
12,181.0,136.078,,,1.81,41.536583132383015,1
13,152.4,54.43,,,1.524,23.435185759260406,0
14,188.0,90.7,,,1.88,25.662064282480763,1
15,182.0,66.0,,,1.82,19.925129815239703,0
16,175.0,70.0,,,1.75,22.857142857142858,0
17,180.0,75.0,,,1.8,23.148148148148145,0
18,183.0,72.5,,,1.83,21.64889963868733,0
19,165.0,68.0,,,1.65,24.977043158861342,0
20,180.0,74.8,,,1.8,23.086419753086417,0
21,194.0,95.0,,,1.94,25.241789775746625,1
22,174.0,300.0,,,1.74,99.08838684106223,1
22,175.0,93.0,,,1.75,30.367346938775512,1
24,192.0,105.0,,,1.92,28.483072916666668,1
25,184.0,94.0,,,1.84,27.764650283553873,1
26,183.0,79.4,,,1.83,23.70927767326585,0
27,173.0,55.0,,,1.73,18.376825152861773,0
29,190.0,98.0,,,1.9,27.146814404432135,1
30,180.0,90.0,,,1.8,27.777777777777775,1
