Class,Date,Attendance
1,Aug 19, 2025,44
2,Aug 21, 2025,49
3,Aug 26, 2025,45
4,Aug 28, 2025,31
5,Sep 2, 2025,41
6,Sep 4, 2025,40
7,Sep 9, 2025,42
8,Sep 11, 2025,37
9,Sep 16, 2025,33
10,Sep 18, 2025,35
11,Sep 23, 2025,41
12,Sep 25, 2025,37
13,Sep 30, 2025,37
14,Oct 2, 2025,30
15,Oct 7, 2025,45
16,Oct 14, 2025,30
17,Oct 16, 2025,30
18,Oct 21, 2025,36
19,Oct 23, 2025,34
20,Oct 28, 2025,25
21,Oct 30, 2025,30
22,Nov 4, 2025,27
23,Nov 6, 2025,28
24,Nov 11, 2025,41
25,Nov 13, 2025,19
26,Nov 18, 2025,34
27,Nov 20, 2025,16
